;codigo_ibg;freq;Ano
19186;1100015;1;2012
19187;1100205;1;2012
19188;1100346;1;2012
19189;1200401;31;2012
19190;1302603;30;2012
19191;1303536;4;2012
19192;1400100;5;2012
19193;1400209;8;2012
19194;1500800;1;2012
19195;1501402;4;2012
19196;1502772;2;2012
19197;1502939;3;2012
19198;1503044;1;2012
19199;1505064;2;2012
19200;1505536;57;2012
19201;1506500;2;2012
19202;1600600;6;2012
19203;1703107;1;2012
19204;1703701;1;2012
19205;1709500;1;2012
19206;1718865;1;2012
19207;1720200;1;2012
19208;2102556;4;2012
19209;2105104;4;2012
19210;2105302;2;2012
19211;2105906;1;2012
19212;2107704;2;2012
19213;2112456;3;2012
19214;2202604;1;2012
19215;2202653;1;2012
19216;2203305;3;2012
19217;2203701;7;2012
19218;2203909;1;2012
19219;2205102;1;2012
19220;2205581;1;2012
19221;2206050;1;2012
19222;2207009;2;2012
19223;2209351;1;2012
19224;2210201;1;2012
19225;2210607;1;2012
19226;2211001;17;2012
19227;2301703;1;2012
19228;2302057;1;2012
19229;2302107;1;2012
19230;2302800;6;2012
19231;2303402;2;2012
19232;2303709;6;2012
19233;2304103;2;2012
19234;2304277;2;2012
19235;2304400;548;2012
19236;2304707;1;2012
19237;2305506;2;2012
19238;2307650;6;2012
19239;2308401;1;2012
19240;2309706;1;2012
19241;2310407;1;2012
19242;2311264;4;2012
19243;2312007;1;2012
19244;2312908;23;2012
19245;2313401;1;2012
19246;2400109;1;2012
19247;2400901;2;2012
19248;2401107;8;2012
19249;2402204;4;2012
19250;2403004;1;2012
19251;2403103;3;2012
19252;2403251;1;2012
19253;2405603;2;2012
19254;2407807;2;2012
19255;2408003;3;2012
19256;2408102;128;2012
19257;2410801;1;2012
19258;2412401;1;2012
19259;2413805;2;2012
19260;2503308;1;2012
19261;2503902;1;2012
19262;2504009;1;2012
19263;2504603;1;2012
19264;2505105;1;2012
19265;2506301;2;2012
19266;2507507;12;2012
19267;2508307;1;2012
19268;2510006;1;2012
19269;2510808;2;2012
19270;2511202;4;2012
19271;2511400;1;2012
19272;2513901;1;2012
19273;2515302;1;2012
19274;2516003;1;2012
19275;2517209;1;2012
19276;2601409;1;2012
19277;2602803;1;2012
19278;2603454;3;2012
19279;2604106;15;2012
19280;2605202;1;2012
19281;2606804;1;2012
19282;2608206;2;2012
19283;2608909;1;2012
19284;2609154;3;2012
19285;2609600;35;2012
19286;2610004;3;2012
19287;2610202;2;2012
19288;2611606;36;2012
19289;2612208;1;2012
19290;2613008;1;2012
19291;2615805;2;2012
19292;2700300;3;2012
19293;2701407;1;2012
19294;2701704;2;2012
19295;2702900;6;2012
19296;2704302;356;2012
19297;2707602;1;2012
19298;2800308;83;2012
19299;2800506;1;2012
19300;2800605;7;2012
19301;2801009;1;2012
19302;2802403;4;2012
19303;2802700;2;2012
19304;2802908;2;2012
19305;2804201;1;2012
19306;2805703;10;2012
19307;2807402;5;2012
19308;2900702;4;2012
19309;2902302;3;2012
19310;2902906;2;2012
19311;2903201;1;2012
19312;2904852;1;2012
19313;2904902;1;2012
19314;2905206;1;2012
19315;2906899;1;2012
19316;2907004;1;2012
19317;2910800;2;2012
19318;2913408;1;2012
19319;2913606;2;2012
19320;2914604;3;2012
19321;2914703;2;2012
19322;2916401;6;2012
19323;2917508;1;2012
19324;2917607;1;2012
19325;2917904;3;2012
19326;2918001;8;2012
19327;2918209;1;2012
19328;2918357;1;2012
19329;2920106;6;2012
19330;2920205;3;2012
19331;2921708;3;2012
19332;2922250;1;2012
19333;2922508;1;2012
19334;2923001;1;2012
19335;2925501;2;2012
19336;2925709;1;2012
19337;2927408;105;2012
19338;2928109;1;2012
19339;2929602;5;2012
19340;2930204;4;2012
19341;2930709;1;2012
19342;2931103;2;2012
19343;2932903;3;2012
19344;2933307;17;2012
19345;3100609;2;2012
19346;3103009;2;2012
19347;3104007;9;2012
19348;3104205;1;2012
19349;3106200;2324;2012
19350;3106705;11;2012
19351;3108909;1;2012
19352;3111200;3;2012
19353;3111309;1;2012
19354;3112802;1;2012
19355;3113404;12;2012
19356;3115102;1;2012
19357;3115300;6;2012
19358;3115508;1;2012
19359;3116506;2;2012
19360;3117504;1;2012
19361;3117876;1;2012
19362;3118007;1;2012
19363;3118304;8;2012
19364;3118403;5;2012
19365;3118601;36;2012
19366;3118908;6;2012
19367;3120607;1;2012
19368;3121209;1;2012
19369;3122306;1;2012
19370;3122454;1;2012
19371;3123007;1;2012
19372;3123601;3;2012
19373;3126802;1;2012
19374;3127701;13;2012
19375;3128105;1;2012
19376;3128303;7;2012
19377;3130309;1;2012
19378;3131307;9;2012
19379;3134202;1;2012
19380;3135100;5;2012
19381;3135803;5;2012
19382;3136702;22;2012
19383;3137502;2;2012
19384;3137601;1;2012
19385;3138203;3;2012
19386;3138401;15;2012
19387;3139201;2;2012
19388;3140001;4;2012
19389;3140704;1;2012
19390;3141405;1;2012
19391;3142809;1;2012
19392;3143302;4;2012
19393;3144508;3;2012
19394;3144706;2;2012
19395;3144805;2;2012
19396;3145208;1;2012
19397;3145604;3;2012
19398;3146107;1;2012
19399;3146552;1;2012
19400;3147709;2;2012
19401;3148103;4;2012
19402;3149309;1;2012
19403;3151008;2;2012
19404;3151800;45;2012
19405;3152105;1;2012
19406;3152501;3;2012
19407;3154903;1;2012
19408;3156809;1;2012
19409;3157005;1;2012
19410;3157807;2;2012
19411;3158805;9;2012
19412;3162104;1;2012
19413;3167202;44;2012
19414;3167905;1;2012
19415;3168002;1;2012
19416;3168101;1;2012
19417;3168507;4;2012
19418;3168606;1;2012
19419;3168705;4;2012
19420;3169307;1;2012
19421;3169356;2;2012
19422;3170404;1;2012
19423;3170701;1;2012
19424;3170800;1;2012
19425;3170909;1;2012
19426;3171204;1;2012
19427;3171303;37;2012
19428;3171600;2;2012
19429;3172004;1;2012
19430;3200169;2;2012
19431;3200607;2;2012
19432;3200805;1;2012
19433;3201209;3;2012
19434;3201308;1;2012
19435;3201506;51;2012
19436;3202306;1;2012
19437;3203205;2;2012
19438;3203346;1;2012
19439;3204906;1;2012
19440;3204955;3;2012
19441;3205101;1;2012
19442;3205200;29;2012
19443;3205309;113;2012
19444;3300209;1;2012
19445;3300308;1;2012
19446;3300456;1;2012
19447;3300605;1;2012
19448;3300704;3;2012
19449;3301009;21;2012
19450;3301702;12;2012
19451;3301876;1;2012
19452;3302106;1;2012
19453;3302205;3;2012
19454;3302403;16;2012
19455;3303302;15;2012
19456;3303401;2;2012
19457;3303500;12;2012
19458;3303807;1;2012
19459;3303856;1;2012
19460;3303906;25;2012
19461;3304003;1;2012
19462;3304110;1;2012
19463;3304201;9;2012
19464;3304300;1;2012
19465;3304409;2;2012
19466;3304557;125;2012
19467;3304805;1;2012
19468;3304904;1;2012
19469;3305505;2;2012
19470;3306008;2;2012
19471;3306107;10;2012
19472;3306305;29;2012
19473;3500303;1;2012
19474;3500501;2;2012
19475;3500709;1;2012
19476;3501905;28;2012
19477;3502101;3;2012
19478;3502705;1;2012
19479;3502804;8;2012
19480;3503208;33;2012
19481;3503307;12;2012
19482;3504008;9;2012
19483;3504107;3;2012
19484;3504305;1;2012
19485;3504503;2;2012
19486;3504602;1;2012
19487;3504800;1;2012
19488;3505500;5;2012
19489;3505807;1;2012
19490;3505906;8;2012
19491;3506003;73;2012
