id_municipio;municipio
1;Abadia Dos Dourados
2;Abadia de Goiás
3;Abadiânia
4;Abaetetuba
5;Abaeté
6;Abaiara
7;Abaré
8;Abatiá
9;Abaíra
10;Abdon Batista
11;Abel Figueiredo
12;Abelardo Luz
13;Abre Campo
14;Abreu e Lima
15;Abreulândia
16;Acaiaca
17;Acajutiba
18;Acarapé
19;Acaraú
20;Acari
21;Acará
22;Acauã
23;Aceguá
24;Acopiara
25;Acorizal
26;Acrelândia
27;Acreúna
28;Adamantina
29;Adelândia
30;Adolfo
31;Adrianópolis
32;Adustina
33;Afogados da Ingazeira
34;Afonso Bezerra
35;Afonso Cláudio
36;Afonso Cunha
37;Afrânio
38;Afuá
39;Agrestina
40;Agricolândia
41;Agrolândia
42;Agronômica
43;Aguanil
44;Aguaí
45;Agudo
46;Agudos
47;Agudos do Sul
48;Aguiar
49;Aguiarnópolis
50;Aimorés
51;Aiquara
52;Aiuaba
53;Aiuruoca
54;Ajuricaba
55;Alagoa
56;Alagoa Grande
57;Alagoa Nova
58;Alagoinha
59;Alagoinha
60;Alagoinha do Piauí
61;Alagoinhas
62;Alambari
63;Albertina
64;Alcantil
65;Alcinópolis
66;Alcobaça
67;Alcântara
68;Alcântaras
69;Aldeias Altas
70;Alecrim
71;Alegre
72;Alegrete
73;Alegrete do Piauí
74;Alegria
75;Alenquer
76;Alexandria
77;Alexânia
78;Alfenas
79;Alfredo Chaves
80;Alfredo Marcondes
81;Alfredo Vasconcelos
82;Alfredo Wagner
83;Algodão de Jandaíra
84;Alhandra
85;Aliança
86;Aliança do Tocantins
87;Almadina
88;Almas
89;Almeirim
90;Almenara
91;Almino Afonso
92;Almirante Tamandaré
93;Almirante Tamandaré do Sul
94;Aloândia
95;Alpercata
96;Alpestre
97;Alpinópolis
98;Alta Floresta
99;Alta Floresta D´oeste
100;Altair
101;Altamira
102;Altamira do Maranhão
103;Altamira do Paraná
104;Altaneira
105;Alterosa
106;Altinho
107;Altinópolis
108;Alto Alegre
109;Alto Alegre
110;Alto Alegre
111;Alto Alegre Dos Parecis
112;Alto Alegre do Maranhão
113;Alto Alegre do Pindaré
114;Alto Araguaia
115;Alto Bela Vista
116;Alto Boa Vista
117;Alto Caparaó
118;Alto Feliz
119;Alto Garças
120;Alto Horizonte
121;Alto Jequitibá
122;Alto Longá
123;Alto Paraguai
124;Alto Paraná
125;Alto Paraíso
126;Alto Paraíso de Goiás
127;Alto Parnaíba
128;Alto Piquiri
129;Alto Rio Doce
130;Alto Rio Novo
131;Alto Santo
132;Alto Taquari
133;Alto do Rodrigues
134;Altos
135;Altônia
136;Alumínio
137;Alvarenga
138;Alvarães
139;Alvinlândia
140;Alvinópolis
141;Alvorada
142;Alvorada
143;Alvorada D´oeste
144;Alvorada de Minas
145;Alvorada do Gurguéia
146;Alvorada do Norte
147;Alvorada do Sul
148;Além Paraíba
149;Amajari
150;Amambaí
151;Amaporã
152;Amapá
153;Amapá do Maranhão
154;Amaraji
155;Amaral Ferrador
156;Amaralina
157;Amarante
158;Amarante do Maranhão
159;Amargosa
160;Amaturá
161;Americana
162;Americano do Brasil
163;Ametista do Sul
164;Amontada
165;Amorinópolis
166;Amparo
167;Amparo
168;Amparo de São Francisco
169;Amparo do Serra
170;Ampére
171;Amélia Rodrigues
172;América Dourada
173;Américo Brasiliense
174;Américo de Campos
175;Anadia
176;Anagé
177;Anahy
178;Anajatuba
179;Anajás
180;Analândia
181;Anamã
182;Ananindeua
183;Ananás
184;Anapu
185;Anapurus
186;Anastácio
187;Anaurilândia
188;Anchieta
189;Anchieta
190;Andaraí
191;Andirá
192;Andorinha
193;Andradas
194;Andradina
195;Andrelândia
196;André da Rocha
197;Angatuba
198;Angelim
199;Angelina
200;Angelândia
201;Angical
202;Angical do Piauí
203;Angico
204;Angicos
205;Angra Dos Reis
206;Anguera
207;Angélica
208;Anhanguera
209;Anhembi
210;Anhumas
211;Anicuns
212;Anita Garibaldi
213;Anitápolis
214;Anori
215;Anta Gorda
216;Antas
217;Antonina
218;Antonina do Norte
219;Antônio Almeida
220;Antônio Cardoso
221;Antônio Carlos
222;Antônio Carlos
223;Antônio Dias
224;Antônio Gonçalves
225;Antônio João
226;Antônio Martins
227;Antônio Olinto
228;Antônio Prado
229;Antônio Prado de Minas
230;Anápolis
231;Anísio de Abreu
232;Aparecida
233;Aparecida
234;Aparecida D´oeste
235;Aparecida de Goiânia
236;Aparecida do Rio Doce
237;Aparecida do Rio Negro
238;Aparecida do Taboado
239;Aperibé
240;Apiacá
241;Apiacás
242;Apiaí
243;Apicum-açu
244;Apiúna
245;Apodi
246;Aporá
247;Aporé
248;Apuarema
249;Apucarana
250;Apuiarés
251;Apuí
252;Aquidabã
253;Aquidauana
254;Aquiraz
255;Arabutã
256;Aracaju
257;Aracati
258;Aracatu
259;Araci
260;Aracitaba
261;Aracoiaba
262;Aracruz
263;Aragarças
264;Aragoiânia
265;Aragominas
266;Araguacema
267;Araguaiana
268;Araguainha
269;Araguanã
270;Araguanã
271;Araguapaz
272;Araguari
273;Araguatins
274;Araguaçu
275;Araguaína
276;Araioses
277;Aral Moreira
278;Aramari
279;Arambaré
280;Arame
281;Aramina
282;Arandu
283;Arantina
284;Arapeí
285;Arapiraca
286;Arapoema
287;Araponga
288;Arapongas
289;Araporã
290;Arapoti
291;Araputanga
292;Arapuá
293;Arapuã
294;Araquari
295;Arara
296;Araranguá
297;Araraquara
298;Araras
299;Ararendá
300;Arari
301;Araricá
302;Araripe
303;Araripina
304;Araruama
305;Araruna
306;Araruna
307;Arataca
308;Aratiba
309;Aratuba
310;Aratuípe
311;Araucária
312;Arauá
313;Araxá
314;Araçagi
315;Araçariguama
316;Araças
317;Araçatuba
318;Araçaí
319;Araçoiaba
320;Araçoiaba da Serra
321;Araçu
322;Araçuaí
323;Araújos
324;Arceburgo
325;Arco-íris
326;Arcos
327;Arcoverde
328;Areado
329;Areal
330;Arealva
331;Areia
332;Areia Branca
333;Areia Branca
334;Areia de Baraúnas
335;Areial
336;Areias
337;Areiópolis
338;Arenápolis
339;Arenópolis
340;Argirita
341;Aricanduva
342;Arinos
343;Aripuanã
344;Ariquemes
345;Ariranha
346;Ariranha do Ivaí
347;Armazém
348;Armação Dos Búzios
349;Arneiroz
350;Aroazes
351;Aroeiras
352;Aroeiras do Itaim
353;Arraial
354;Arraial do Cabo
355;Arraias
356;Arroio Dos Ratos
357;Arroio Grande
358;Arroio Trinta
359;Arroio do Meio
360;Arroio do Padre
361;Arroio do Sal
362;Arroio do Tigre
363;Artur Nogueira
364;Aruanã
365;Arujá
366;Arvoredo
367;Arvorezinha
368;Arês
369;Ascurra
370;Aspásia
371;Assaré
372;Assaí
373;Assis
374;Assis Brasil
375;Assis Chateaubriand
376;Assunção
377;Assunção do Piauí
378;Astolfo Dutra
379;Astorga
380;Atalaia
381;Atalaia
382;Atalaia do Norte
383;Atalanta
384;Ataléia
385;Atibaia
386;Atilio Vivacqua
387;Augustinópolis
388;Augusto Corrêa
389;Augusto Pestana
390;Augusto Severo
391;Augusto de Lima
392;Aurelino Leal
393;Auriflama
394;Aurilândia
395;Aurora
396;Aurora
397;Aurora do Pará
398;Aurora do Tocantins
399;Autazes
400;Avanhandava
401;Avaré
402;Avaí
403;Aveiro
404;Avelino Lopes
405;Avelinópolis
406;Axixá
407;Axixá do Tocantins
408;Açailândia
409;Açu
410;Açucena
411;Babaçulândia
412;Bacabal
413;Bacabeira
414;Bacuri
415;Bacurituba
416;Bady Bassitt
417;Baependi
418;Bagre
419;Bagé
420;Baianópolis
421;Baixa Grande
422;Baixa Grande do Ribeiro
423;Baixio
424;Baixo Guandu
425;Baião
426;Balbinos
427;Baldim
428;Baliza
429;Balneário Arroio do Silva
430;Balneário Barra do Sul
431;Balneário Camboriú
432;Balneário Gaivota
433;Balneário Pinhal
434;Balneário Rincão
435;Balsa Nova
436;Balsas
437;Bambuí
438;Banabuiú
439;Bananal
440;Bananeiras
441;Bandeira
442;Bandeira do Sul
443;Bandeirante
444;Bandeirantes
445;Bandeirantes
446;Bandeirantes do Tocantins
447;Bannach
448;Banzaê
449;Baraúna
450;Baraúna
